obligation,source_ref,modality,requirement,verdict,quote,locator,reason,requirement_locator
O-012,R-012,SHALL,the deliverable SHALL state the arbitration rule.,unmet,,,The passages do not contain any statement of an arbitration rule.,requirements:43
O-013,R-013,SHALL,"Where two or more components may act on the same decision, the deliverable shall state which is authoritative and under what conditions.",partial,"Where two sensors covering the same reach report incompatible levels, the fabric flags the disagreement and defers resolution to the Hydrology Model, which holds the physical constraint set needed to adjudicate.",deliverable-v1:113-118,"The passage addresses disagreement between two sensors (a specific case of two components acting on the same decision) and states that the Hydrology Model is authoritative for resolution, but it does not state *under what conditions* the Hydrology Model’s authority applies—only that it is deferred to when sensors disagree. The obligation requires specifying both the authoritative component *and* the conditions for its authority, and the conditionality (e.g., only when sensors disagree, or only when certain quality flags apply) is implied but not explicitly stated.",requirements:46
O-014,R-014,SHALL,The deliverable shall declare the simulation time base in SI units.,unmet,,,"The deliverable describes simulation advancement in 'ticks' and defines tick-related concepts (e.g., ND-01 'Tick duration' is listed as not-yet-defined), but it does not declare the simulation time base in SI units anywhere in the provided passages.",requirements:49
O-015,R-014,SHALL,The deliverable shall state the relationship between simulation time and wall-clock time.,unmet,,,"The passages describe simulation advancing in ticks and distinguish simulation time from wall-clock time, but they do not state any explicit relationship (e.g., ratio, mapping, or conversion) between simulation time and wall-clock time.",requirements:49
O-016,R-015,SHALL,Every numeric threshold governing an automated decision shall carry either a value or a named owner accountable for determining it.,unmet,| AS-G01 | Threshold values not set | AS lead | Authority decision |,deliverable-v1:207-215,"The gap AS-G01 explicitly states 'Threshold values not set', and no provision is shown where a named owner is accountable for determining the threshold value—only that authority decision is required as closure evidence, without specifying who owns determination of the value.",requirements:52
O-017,R-020,SHALL,The deliverable shall maintain a register of open gaps,met,Open gaps are recorded in the per-component registers.,deliverable-v1:356-360,"The passage explicitly states that open gaps are recorded in per-component registers, and multiple such registers (e.g., sections 5.5, 6.5, 7.5, 8.6, 10.4, 11.3) are presented with structured tables containing ID, Gap, Owner, and Closure evidence — satisfying the obligation to maintain a register of open gaps.",requirements:57
O-018,R-020,SHALL,Each gap in the register shall have a unique identifier,unmet,,,"The passages list gaps with identifiers like SF-G01, PA-G01, etc., but these are section-specific IDs, not unique identifiers across the entire register; there is no explicit statement confirming that every gap has a globally unique identifier.",requirements:57
O-019,R-020,SHALL,Each gap in the register shall have a named owner,unverifiable,,,model failed to return a checkable verdict: trace:O-019: no schema-valid reply after 2 attempts,requirements:57
O-020,R-020,SHALL,Each gap in the register shall have defined closure evidence,unverifiable,,,model failed to return a checkable verdict: trace:O-020: no schema-valid reply after 2 attempts,requirements:57
O-021,R-021,SHALL,The Contractor SHALL document a trade-off analysis for each subsystem,partial,Trade-off analyses for each subsystem are recorded in Appendix C.,deliverable-v1:356-360,"The passage states that trade-off analyses for each subsystem are recorded in Appendix C, but Appendix C is not included in the supplied passages, so it is unverifiable whether the analyses themselves are actually present and meet the obligation.",requirements:60
O-022,R-021,SHALL,The Contractor SHALL record the options considered and the basis for selection,unmet,,,"The passages describe where trade-off analyses, solver catalogs, and open decisions are recorded (e.g., Appendix C, Section 9, per-component registers), but none explicitly state that *options considered and the basis for selection* were recorded—only that some items remain unselected (e.g., 'Solver not selected', 'selection remains open'), and no passage provides the actual recorded options or their selection rationale.",requirements:60
O-023,R-022,SHALL,state the maturity of each proposed component against a declared scale,unmet,,,"The obligation requires stating the maturity of each proposed component against a declared scale, but while Section 9 is cited as containing 'Component maturity assessments', no actual maturity values, scales, or assessments are provided in the quoted passages.",requirements:63
O-024,R-022,SHALL,identify components below production readiness,partial,Component maturity assessments are recorded in Section 9.,deliverable-v1:356-360,"The passage states that component maturity assessments are recorded in Section 9, but the passages supplied do not include Section 9 itself, so it is unverifiable whether the assessment explicitly identifies components *below* production readiness; the obligation requires identification of components *below* production readiness, not just maturity assessments generally.",requirements:63
O-025,R-023,SHALL,The deliverable SHALL record risks to delivery,met,Risks are recorded in Appendix B.,deliverable-v1:356-360,"The deliverable explicitly states that risks are recorded in Appendix B, and Appendix B contains a risk register with identified risks, owners, and mitigations, thereby discharging the obligation to record risks to delivery.",requirements:67
O-026,R-023,SHALL,Each risk shall have an owner,met,"| ID | Risk | Owner | Mitigation |
|---|---|---|---|
| RSK-01 | Operator agreements not executed before build | Authority | Early legal engagement |
| RSK-02 | Historical archive insufficient for calibration | CP lead | Synthetic event augmentation |
| RSK-03 | Solver selection slips beyond design freeze | HM lead | Timeboxed benchmark |
| RSK-04 | Tick budget exceeded under peak load | RO lead | Load test before commit |
| RSK-05 | Threshold values not agreed in time | Authority | Provisional values with review |",deliverable-v1:338-347,"The risk register in Appendix B explicitly assigns an owner to each identified risk (RSK-01 through RSK-05), satisfying the obligation that each risk shall have an owner.",requirements:67
O-027,R-023,SHALL,Each risk shall have a mitigation,met,"| ID | Risk | Owner | Mitigation |
|---|---|---|---|
| RSK-01 | Operator agreements not executed before build | Authority | Early legal engagement |
| RSK-02 | Historical archive insufficient for calibration | CP lead | Synthetic event augmentation |
| RSK-03 | Solver selection slips beyond design freeze | HM lead | Timeboxed benchmark |
| RSK-04 | Tick budget exceeded under peak load | RO lead | Load test before commit |
| RSK-05 | Threshold values not agreed in time | Authority | Provisional values with review |",deliverable-v1:338-347,"The risk register in Appendix B explicitly lists five risks (RSK-01 through RSK-05), each with a corresponding mitigation action, satisfying the obligation that each risk shall have a mitigation.",requirements:67
O-028,R-024,SHALL,Claims that evidence exists elsewhere in the deliverable SHALL resolve to the location cited.,unmet,,,"The obligation requires that claims about evidence existing elsewhere be resolved by citing the specific location; however, while Appendix A maps requirements to sections, it does not provide explicit citations for where evidence for each requirement is located—only where the requirement is 'addressed', which is insufficient to satisfy the obligation's requirement for resolving evidence locations.",requirements:70
O-029,R-030,SHALL,"Where the Contractor proposes a calibration activity, the deliverable SHALL identify the decision-time consumer of that calibration's outputs.",unmet,,,"The deliverable does not identify any decision-time consumer of calibration outputs, nor does it specify who makes decisions based on calibration results; while stakeholders and interfaces are listed, none explicitly link calibration outputs to a decision-making consumer.",requirements:75
O-030,R-031,SHALL,The alerting decision SHALL be traceable to declared inputs.,unmet,,,"The passages describe inputs to the Alerting Service (e.g., estimated and projected state via IF-AS-001) and its evaluation logic (e.g., thresholds, severity-based ordering), but none explicitly state or demonstrate how the alerting decision is *traceable* to declared inputs—i.e., there is no mention of traceability mechanisms such as logging, provenance tracking, or explicit linkage between specific input values and resulting alert decisions.",requirements:78
O-031,R-032,SHOULD,describe how calibration outputs are refreshed as conditions change,partial,"Calibration is re-run when a new event is added to the archive, or annually, whichever is sooner.",deliverable-v1:239-243,"The passage specifies *when* calibration is refreshed (on new events or annually), but does not describe *how* the calibration outputs are refreshed as conditions change—e.g., it omits details on how changing conditions (beyond event additions or time) trigger updates, how the refresh adapts to evolving system behavior, or how condition-dependent recalibration is performed.",requirements:80
O-032,R-040,SHALL,The deliverable SHALL be issued as a single document with numbered sections and appendices.,unmet,,,"The passages show the deliverable has numbered sections (e.g., Sections 2–13, 4, 5.2, etc.) and appendices (A, B, C, D, F), but they do not confirm the document is issued as a *single document*—they reference multiple separate appendices and sections without establishing their integration into one cohesive, sequentially numbered document per the obligation.",requirements:85
O-033,R-041,SHALL,Cross-references within the deliverable SHALL resolve.,unmet,,,"The obligation requires that cross-references within the deliverable shall resolve, but the passages contain no explicit cross-references (e.g., internal references like 'see Section X' or 'as defined in Appendix Y') nor any indication that such references have been verified to resolve correctly.",requirements:88
O-034,R-042,MAY,"The Contractor MAY propose alternative structures, provided the mapping to this specification is stated.",unmet,,,"The obligation requires that any proposed alternative structures must have their mapping to the specification stated, but the passages provide no indication that alternative structures were proposed or that any such proposal includes a stated mapping to the specification.",requirements:90
