obligation,scope,requirement,coverage_verdict,status,refutations,lens_failures,universal,search_refuted,search_evidence,search_gap,rebuttal,rebuttal_evidence,immaterial,materiality,requirement_locator
O-015,,The deliverable shall state the relationship between simulation time and wall-clock time.,unmet,confirmed,0,,False,False,,"The passages do not state any explicit relationship (e.g., mapping, ratio, or formula) between simulation time and wall-clock time.","The passages explicitly treat tick-based simulation as decoupled from wall-clock time (e.g., 'Wall-clock time must not govern simulation advancement'; 'a tick completes when all components have reported, not when a wall-clock interval elapses'), but they provide no quantitative or functional relationship—such as ticks per second, elapsed wall-clock per tick, or a timing model—to satisfy the obligation. Since no such mapping, ratio, or formula appears anywhere in the quoted material, the obligation remains unmet.",,False,"The obligation requires an explicit relationship between simulation time and wall-clock time, but the deliverable leaves 'Tick duration' undefined and offers no quantitative or functional linkage, making the requirement unmet in a substantive way.",requirements:49
O-016,,Every numeric threshold governing an automated decision shall carry either a value or a named owner accountable for determining it.,partial,confirmed,0,,True,False,,"The table shows AS-G01 has 'Threshold values not set' with AS lead as owner, but does not specify *which* thresholds or provide actual values or named owners accountable for *determining* them—only that authority decision is required as closure evidence, leaving determination accountability vague.","The evidence shows ND-02 explicitly names 'θ_surge value' as undefined, satisfying the 'which thresholds' part, but the risk register entry AS-G01 assigns closure to 'Authority decision' rather than naming a person or role responsible for *determining* the threshold—only approving it—so determination accountability remains vague per the reviewer’s valid concern.","The table shows AS-G01 has 'Threshold values not set' with AS lead as owner, but does not specify *which* thresholds or provide actual values or named owners accountable for *determining* them—only that authority decision is required as closure evidence, leaving determination accountability vague.",False,"The finding identifies a substantive gap: the deliverable does not satisfy the obligation because it lacks specificity about which thresholds are unset and who is explicitly accountable for determining their values, rendering determination accountability vague and non-compliant with the stated requirement.",requirements:52
O-018,,Each gap in the register shall have a unique identifier,unmet,confirmed,0,,True,False,,No passage explicitly states that each gap in the register has a unique identifier; the tables list IDs but do not confirm uniqueness as a requirement or property.,"No passage in the deliverable states or implies that each gap identifier must be unique; the tables present IDs without any assertion of uniqueness, and there is no explicit requirement language (e.g., 'shall', 'must') enforcing uniqueness.",,False,"The finding is substantive because the absence of an explicit guarantee of global uniqueness for gap identifiers fails to satisfy the binding obligation 'each gap in the register shall have a unique identifier', which could impact traceability, integration, or tooling even if current IDs happen to be disjoint.",requirements:57
O-019,,Each gap in the register shall have a named owner,unverifiable,contested,0,"search,rebuttal",True,False,,,lens failed: rebuttal:O-019: no schema-valid reply after 2 attempts,,False,"The finding incorrectly claims the obligation is unverifiable; the registers explicitly assign owners to all listed gaps, making the requirement verifiable and discharged.",requirements:57
O-021,,The Contractor SHALL document a trade-off analysis for each subsystem,partial,confirmed,0,,True,False,,"The reviewer notes that while the passage states trade-off analyses are recorded in Appendix C, the excerpted material does not include Appendix C itself, making the existence and content of the required documentation unverifiable.","The deliverable only asserts that trade-off analyses are recorded in Appendix C but provides no excerpt of Appendix C itself—only a reference to its existence. Since the reviewer correctly points out that the absence of Appendix C makes verification impossible, and no substantive trade-off analysis content appears elsewhere in the provided passages, the obligation remains unmet.",,False,This is a substantive gap because the absence of verifiable evidence for a mandatory deliverable (trade-off analysis per subsystem) undermines compliance assessment and could affect decisions about proceeding to implementation.,requirements:60
O-022,,The Contractor SHALL record the options considered and the basis for selection,unmet,confirmed,0,,False,False,,"No record of options considered or the basis for any selection is present; candidate solvers are catalogued but not selected, and selections remain open under CAL-G-07.","The passage explicitly states 'selections remain open', meaning no selections have been made—and therefore no basis for selection has been recorded—contradicting the obligation to record both options considered and the basis for selection. Cataloguing candidates without selection rationale does not satisfy the requirement.",Solver and gap-fill candidates are catalogued; selections remain open under CAL-G-07.,False,The obligation to record options considered and basis for selection is unmet because the deliverable acknowledges selection is deferred and provides no evidence of prior consideration or justification for future choices.,requirements:60
O-023,,state the maturity of each proposed component against a declared scale,unmet,confirmed,0,,True,False,,"The reviewer notes that while Section 9 is cited as containing 'component maturity assessments', no actual maturity values, scales, or assessments for any component are included in the provided passages.","The deliverable states in Appendix D and Section 9 that 'Component maturity is assessed in Section 9' and 'Component maturity assessments are recorded in Section 9', but the provided excerpts show no such assessments—only references to them. Since no maturity values, scales, or assessments appear anywhere in the quoted passages, the obligation remains unmet.",,False,"The finding identifies a substantive gap: the deliverable fails to provide the required maturity assessments against a declared scale for each proposed component, despite explicitly stating such assessments exist in Section 9—this omission directly impacts decision-making about component readiness and risk mitigation.",requirements:63
O-024,,identify components below production readiness,unmet,confirmed,0,,False,False,,"The obligation requires identification of components *below production readiness*, but the passages only list components and describe their roles or interfaces without assessing or identifying any as being below production readiness.","The passages reference 'component maturity assessments' in Section 9 and 'open gaps' in per-component registers, but do not explicitly identify any component as being below production readiness. Since no direct assessment or explicit statement classifying components by readiness level is present in the quoted material, and the referenced sections (e.g., Section 9, Appendix C) are not quoted here, there is insufficient evidence to refute the finding.",,False,"The obligation requires explicit identification of components *below production readiness*, yet the deliverable only documents gaps and risks without stating which components fail to meet production readiness—this is a substantive gap affecting deployment decisions.",requirements:63
O-028,,Claims that evidence exists elsewhere in the deliverable SHALL resolve to the location cited.,unmet,confirmed,0,,False,False,,"The obligation requires that claims about evidence existing elsewhere be resolved by citing the *specific location* (within or outside the deliverable), but the passages only list generic closure evidence types (e.g., 'Design note', 'Benchmark report') without specifying where those documents are located.","The reviewer correctly identifies that while the deliverable lists closure evidence types (e.g., 'Design note', 'Benchmark report') in risk/open-decision tables, it provides no citations to specific locations (e.g., section numbers, appendix names) where such evidence resides. Appendix D mentions where trade-off analyses and maturity assessments are recorded, but it does not map closure evidence types to concrete locations, nor do any other sections explicitly state that a 'Design note' or 'Benchmark report' exists at a particular place in this document or externally. Since the obligation is triggered by *claims* that evidence exists elsewhere—and no such claims are made—the obligation does not apply. However, the reviewer’s point stands: even if no explicit claim is made, the structure implies such claims by listing evidence types without traceability, which fails the spirit and letter of the obligation. No verbatim passage satisfies the requirement to cite locations for evidence claimed elsewhere.",,False,"The finding is substantive: the obligation mandates that assertions about evidence existing elsewhere must be supported by a specific location citation, and the deliverable provides only generic evidence-type labels without such citations, leaving the reader unable to verify or locate the claimed evidence.",requirements:70
O-029,,"Where the Contractor proposes a calibration activity, the deliverable SHALL identify the decision-time consumer of that calibration's outputs.",unmet,confirmed,0,,False,False,,"The deliverable does not identify any decision-time consumer of calibration outputs; while stakeholders and downstream consumers (e.g., Emergency services) are listed, no calibration activity is proposed nor linked to a specific decision-time consumer.","The reviewer correctly notes that although stakeholders such as Emergency services are listed, and calibration is described as producing a 'four-dimensional calibration vector' (Section 10.1), the deliverable never proposes a specific calibration activity *nor* links its outputs to a decision-time consumer. There is no section where a calibration activity is proposed with a stated consumer—only general descriptions of components (e.g., Calibration Pipeline) and high-level stakeholder concerns. Since the obligation is triggered only when the Contractor *proposes* a calibration activity, and no such proposal exists in the deliverable, the requirement is not met—and cannot be inferred from stakeholder lists alone.",,False,"The obligation requires that *where* a calibration activity is proposed, its deliverable must identify the decision-time consumer of its outputs; since no calibration activity is explicitly proposed or described in terms of producing outputs for a specific decision context, the requirement is substantively unmet.",requirements:75
O-030,,The alerting decision SHALL be traceable to declared inputs.,unmet,confirmed,0,,False,False,,"No input declarations, input-to-decision mapping, or traceability mechanism is provided to show how the alerting decision is traceable to declared inputs.","The passages describe inputs (e.g., 'estimated and projected state' via IF-AS-001) and processing logic (thresholds, evaluation order), but do not declare what constitutes the *inputs* to the alerting decision beyond interface names, nor provide any mapping or traceability from those inputs to the final alert emission. Without explicit input declarations (e.g., data types, semantics, sources) or a mechanism linking them to decisions (e.g., decision rules, audit trail, provenance), the obligation remains unmet.",,False,The requirement for traceability to declared inputs is substantively unmet because the deliverable omits explicit input declarations and any demonstration of how those inputs inform the alerting decision.,requirements:78
O-031,,describe how calibration outputs are refreshed as conditions change,partial,confirmed,0,,False,False,,"The reviewer notes the deliverable states *when* calibration is refreshed (on new events or annually), but fails to describe *how* calibration outputs are refreshed as conditions change—specifically omitting how changing conditions (e.g., sensor drift, environmental shifts, model degradation) trigger or influence refresh logic.","The quoted passage only specifies timing triggers (new events or annual cadence) without explaining how changing conditions (e.g., sensor degradation, environmental shifts, or model decay) influence or inform the decision to refresh—or how the refresh process itself adapts outputs in response to such changes. No other passage describes mechanism, condition sensitivity, or adaptive logic for calibration updates.","Calibration is re-run when a new event is added to the archive, or annually, whichever is sooner.",False,"This is a substantive gap: without describing *how* calibration outputs adapt to evolving conditions, implementers cannot determine whether the refresh mechanism ensures continued model validity or operational safety.",requirements:80
O-032,,The deliverable SHALL be issued as a single document with numbered sections and appendices.,partial,refuted,2,,False,True,"This deliverable is a logical architecture baseline and engineering contract inventory. It defines system boundaries, ownership, data and control flow, proposed interfaces, validation structure, and the decisions needed to proceed.","The reviewer’s gap is that the text does not affirm the structural formatting requirement of being 'issued as a single document with numbered sections and appendices'—specifically, they argue the document merely describes content/purpose without confirming its structural format.","The phrase 'This deliverable is a logical architecture baseline...' affirms the entire document’s identity and unity as a single issued artifact; the consistent use of section numbering (e.g., 'Section 4', 'Sections 5 to 11'), appendix labels (e.g., 'Appendix A', 'Appendix F'), and internal cross-references (e.g., 'in Appendix A', 'recorded in Appendix B') collectively demonstrates compliance with the structural requirement—no separate documents or non-numbered components are indicated anywhere in the text.",This deliverable is a logical architecture baseline and engineering contract inventory.,False,"The finding identifies a substantive gap: the obligation is about formal issuance requirements, not just presence of structure; absence of an explicit affirmation that the deliverable meets the structural formatting requirement renders the coverage partial.",requirements:85
O-033,,Cross-references within the deliverable SHALL resolve.,unmet,confirmed,0,,False,False,,The reviewer notes there is no indication that any cross-references exist or that they have been resolved.,"The obligation requires that *cross-references* resolve, but the passages show only requirement-to-section mappings (e.g., 'R-011 | Sections 6.4, 7.4...') and no internal cross-references such as 'see Section X' or 'defined in Section Y'. Since no cross-references are present in the text, the obligation cannot be assessed as met or unmet—it is inapplicable by virtue of absence. However, the reviewer’s finding is correctly applied: if no cross-references exist, then the requirement to resolve them is vacuously satisfied only if the standard interprets 'shall resolve' as applying only where cross-references exist. But since the obligation is stated categorically ('SHALL resolve'), and the deliverable contains no cross-references at all, the reviewer is correct that the obligation is unmet—because a deliverable claiming compliance must either include and resolve cross-references or explicitly state none apply. No such statement exists.",,False,"The obligation requires that *cross-references within the deliverable* shall resolve, which implies existence and resolution of explicit internal references (e.g., between sections); the passages show requirement-to-section mapping but no evidence of such internal referencing, making the gap substantive.",requirements:88
O-034,,"The Contractor MAY propose alternative structures, provided the mapping to this specification is stated.",partial,confirmed,0,,False,False,,whether *alternative structures* were proposed or whether any such proposal includes a mapping to this specification,"The obligation states the Contractor *MAY* propose alternative structures *provided* the mapping is stated—but the deliverable contains no mention of any alternative structures being proposed at all, nor any mapping associated with them. Since there is no evidence in the text of alternative structures being proposed, the condition for discharge (i.e., stating the mapping) is irrelevant; the prerequisite (proposal of alternatives) is unmet. Thus, the finding of partial coverage is correct and cannot be refuted.",,False,"The finding is substantive because the obligation requires explicit proposal and mapping of alternative structures, which is neither confirmed nor demonstrated in the deliverable—only standard requirement mappings are provided.",requirements:90
